DamStorage DetentionBasinStorage MeanDaysOfPrecipitationPerMonth GrayInfrastructureStorage VegetationHeight VegetationType VegetationCover SuccessionalStage VegetationInfiltrationAndInterception Slope HydrologicSoilGroup ImperviousSurfaceCover MonthlyTemperature FrozenSoil SoilInfiltration LeveesBridges FloodplainWidth FloodplainConveyance GreenInfrastructureStorage FloodSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage HighVegetationHeight DevelopedCultivatedVegetation VeryLowVegetationCover MidSuccession VeryLow GentlyUndulating SoilGroupD HighlyImpervious HighTemperature Absent Moderate Absent VeryWide Moderate VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStoragePresent HighDaysPrecipitation LowGrayStorage ModerateVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover EarlySuccession VeryLow Level SoilGroupA VeryLowImpervious HighTemperature Absent VeryHigh Present Wide Low ModerateGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight ForestGrasslandShrublandVegetation ModerateVegetationCover MidSuccession High Level SoilGroupA ModeratelyHighlyImpervious HighTemperature Absent VeryHigh Absent VeryNarrow Low ModerateGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage HighVegetationHeight DevelopedCultivatedVegetation VeryLowVegetationCover NoSuccession Low RollingToHilly SoilGroupC LowImpervious HighTemperature Absent Low Absent VeryNarrow Low ModerateGreenStorage ModerateSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage HighVegetationHeight ForestGrasslandShrublandVegetation ModerateVegetationCover NoSuccession VeryHigh RollingToHilly SoilGroupC ModeratelyLowImpervious HighTemperature Absent VeryLow Absent VeryNarrow Low VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight ForestGrasslandShrublandVegetation LowVegetationCover PoleSuccession VeryLow Level SoilGroupD VeryLowImpervious HighTemperature Absent Low Absent VeryNarrow Low LowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage LowVegetationHeight DevelopedCultivatedVegetation HighVegetationCover MidSuccession VeryLow Level SoilGroupA VeryHighlyImpervious LowTemperature Present VeryLow Absent VeryWide High VeryLowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight ForestGrasslandShrublandVegetation HighVegetationCover PoleSuccession VeryHigh Level SoilGroupD HighlyImpervious HighTemperature Absent Low Absent VeryWide High LowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight ForestGrasslandShrublandVegetation HighVegetationCover LateSuccession VeryHigh Level SoilGroupD VeryLowImpervious LowTemperature Present VeryLow Absent Wide High LowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage HighVegetationHeight DevelopedCultivatedVegetation LowVegetationCover PoleSuccession VeryLow SteeplyDissectedToMountainous SoilGroupB LowImpervious HighTemperature Absent VeryLow Absent VeryNarrow Low VeryLowGreenStorage VeryLowSink
